Time in Microseconds,C
118681,37.9955
44988,44948.1
49715,37786
28382,67685.5
46875,39583.5
44752,45866.1
28376,95616.5
72803,18019.2
71179,18826.8
49064,41685.6
47205,37351.7
46919,40931.8
72801,16874.3
48868,36100.3
47871,48176.5
41881,72250.5
43142,73560.3
69812,15487.3
46841,41332.3
98735,10163.4
35905,82491.5
33907,89712
31914,92167.4
37010,82399.6
118892,3252.45
43211,50626.4
31914,91017.7
44849,38775.2
31033,96996.4
65148,27102.3
80783,15160.5
67414,20097.5
43876,60594.6
60937,21649.6
54850,42894.2
55850,30707.7
46983,52993.6
122670,4003.34
46220,53222
59838,27915.1
37174,59157.9
129652,728.947
42884,48419.3
31888,85033.8
52291,28690.3
36314,84049.8
38896,74706.5
37464,62362.8
46542,31062.8
45602,60222.1
41222,73578.6
74064,15807.6
98700,10966.4
39892,82299.8
42883,58695
40716,76180.9
42887,78171.2
78785,26611.7
47834,51948.2
96681,11039.5
31883,90425.4
38004,79012.9
106893,8150.12
31710,99007.2
37897,72815.9
42477,51064.2
58898,26071.1
60877,25320.7
38861,74201.5
45876,46902.1
46874,62754.1
45778,49279.5
37518,79883.3
50049,37342.7
86121,11419.4
42885,60720.4
42885,63478.5
40079,77256.1
55531,51195.4
34906,72438.5
44238,47357.5
42498,46796.8
33038,95771.2
35221,96900.2
31910,70516.7
58244,27644.5
31914,93645.5
34633,77418.2
131524,474.83
35515,81174.4
41824,45198.7
55555,31029.9
40888,47083.7
35722,78408.2
59839,24511.4
39891,59712.6
34906,96052.1
42883,59220.1
41886,50896.9
69809,18461.6
50863,49265
39284,61133.2
51562,54216.2
30160,95850.7
64819,44108
98732,9851.29
36900,68132.3
39498,66474.1
64826,28444.8
80783,9729.89
45580,97459.1
49080,63416.9
60859,44135.3
46013,75278
47840,65201
58968,49544.4
77679,10713.9
61834,36616.6
40889,99552.9
55846,36405.9
62729,29252.5
53856,41304.5
43736,66500.6
41885,63409.6
116688,2808.27
66256,19114.4
53856,40263.5
50862,60751.7
41859,97827.2
62802,32404.5
38859,94619.4
52827,48294
48361,76263
128224,2366.95
37897,97296.7
51426,47715.2
47871,62165.6
41413,79531.1
103719,8121.15
34670,95910.6
139633,1416.83
66232,22681.1
75009,20402.8
34012,80831.5
67994,22740.6
42001,57917.7
38896,68073.6
39036,65395.6
37717,67135.5
48870,40798.7
42007,66495.7
40890,73974
75796,18654.3
49192,43496.4
41177,71176.9
92752,11472.5
75446,17212.8
43884,59615.4
