C,No of Lines
41685.6,34
37351.7,34
40931.8,34
16874.3,54
36100.3,34
48176.5,34
72250.5,30
73560.3,30
15487.3,54
41332.3,34
10163.4,78
82491.5,24
89712.0,22
92167.4,20
82399.6,24
3252.45,98
50626.4,30
91017.7,22
38775.2,32
96996.4,20
27102.3,46
15160.5,62
20097.5,52
60594.6,34
21649.6,50
42894.2,40
30707.7,42
52993.6,34
4003.34,88
53222.0,34
27915.1,44
59157.9,26
728.947,106
48419.3,32
85033.8,24
28690.3,40
84049.8,24
74706.5,26
62362.8,26
31062.8,34
60222.1,32
73578.6,28
15807.6,56
10966.4,78
82299.8,28
58695.0,32
76180.9,28
78171.2,28
26611.7,48
51948.2,34
11039.5,78
90425.4,22
79012.9,26
8150.12,82
99007.2,22
72815.9,26
51064.2,30
26071.1,44
25320.7,44
74201.5,26
46902.1,32
62754.1,30
49279.5,32
79883.3,26
37342.7,36
11419.4,68
60720.4,30
63478.5,30
77256.1,28
51195.4,32
72438.5,22
47357.5,30
46796.8,30
95771.2,22
96900.2,22
70516.7,22
27644.5,42
93645.5,22
77418.2,22
474.83,106
81174.4,24
45198.7,30
31029.9,40
47083.7,28
78408.2,24
24511.4,44
59712.6,28
96052.1,24
59220.1,28
50896.9,28
18461.6,54
49265.0,36
61133.2,26
54216.2,36
95850.7,20
44108.0,38
9851.29,76
68132.3,24
66474.1,26
28444.8,48
9729.89,60
97459.1,30
63416.9,34
44135.3,44
75278.0,32
65201.0,32
49544.4,42
10713.9,60
36616.6,46
99552.9,28
36405.9,42
29252.5,46
41304.5,40
66500.6,30
63409.6,30
2808.27,94
19114.4,52
40263.5,40
60751.7,34
97827.2,28
32404.5,46
94619.4,26
48294.0,38
76263.0,32
2366.95,104
97296.7,26
47715.2,38
62165.6,36
79531.1,30
8121.15,86
95910.6,24
1416.83,108
22681.1,52
20402.8,56
80831.5,24
22740.6,52
57917.7,30
68073.6,26
65395.6,26
67135.5,26
40798.7,34
66495.7,28
73974.0,26
18654.3,58
43496.4,34
71176.9,28
11472.5,72
17212.8,58
59615.4,30
71011.2,28
55407.3,24
54488.3,24
51845.8,26
11466.9,68
48669.3,30
17876.3,56
77420.2,20
13028.3,60
44399.3,32
72841.6,20
50820.1,32
33290.7,42
70561.3,32
63264.6,32
84582.9,32
27650.5,46
62819.1,32
96195.4,32
46112.5,36
82024.2,32
33480.2,34
27411.8,42
29938.1,38
81515.8,26
57644.9,26
58870.2,26
17671.2,62
62170.5,26
22397.2,52
28352.8,38
81088.9,18
76882.0,18
10975.2,74
64568.1,22
83616.1,18
82172.7,18
227.392,124
8081.87,80
9677.73,78
29577.2,40
24055.9,46
14826.6,62
54070.9,30
18049.6,50
63617.1,28
69871.8,26
27586.7,42
3400.56,96
43234.9,36
36403.5,38
709.783,116
14724.5,60
87113.4,26
25277.4,44
92362.5,26
52495.7,30
1217.05,114
64437.9,28
12848.2,64
95046.0,26
14645.7,68
42975.4,36
48320.2,34
73575.0,28
90245.6,28
23138.5,54
43630.5,36
93056.9,28
67021.6,28
21969.0,54
39457.7,36
14459.6,56
9386.48,82
70590.4,30
22750.7,42
47664.6,34
97697.5,22
42544.4,34
76584.2,28
37334.2,40
20754.6,50
41773.6,40
91437.5,24
8100.08,76
9966.28,72
92483.3,24
57324.9,38
32875.1,44
46771.9,38
33323.8,44
15451.5,54
6231.99,86
74534.7,24
56588.3,32
41983.4,34
74308.9,24
92540.9,24
4810.28,90
79317.4,24
50925.3,32
37555.9,38
71074.2,30
3332.22,102
13883.4,64
71802.4,30
84971.4,30
78908.5,30
68236.7,30
45946.5,32
81943.1,30
24362.0,46
95446.2,24
84076.8,26
89508.3,24
34308.0,42
10075.7,78
13938.0,62
64442.2,30
26895.8,44
34708.7,42
32482.9,40
87249.7,26
53523.6,30
2018.28,112
40530.5,34
96934.2,24
63063.8,28
34904.9,34
