C,Lines,N
5.44194,28,78
1.87435,28,78
0.807092,28,78
0.905135,28,78
3.96088,26,79
6.11698,26,79
5.20214,26,79
3.67597,26,79
3.55394,26,79
4.15116,26,79
6.46307,26,79
9.50967,26,79
4.11735,26,79
4.59615,26,79
0.631125,34,80
8.68615,34,80
6.64609,34,80
3.93512,34,80
5.89354,34,80
4.91784,34,80
4.09609,34,80
2.91928,34,80
4.61392,34,80
5.52969,34,80
3.40055,38,81
2.59213,38,81
8.07609,38,81
5.1291,38,81
8.8668,38,81
6.15001,38,81
7.31604,38,81
3.10126,38,81
6.4867,38,81
4.97478,38,81
0.575698,28,82
3.47242,28,82
6.06928,28,82
6.26123,28,82
7.35006,28,82
4.17802,28,82
6.20924,28,82
4.13632,28,82
6.79065,28,82
0.843864,28,82
7.14192,56,83
8.48356,56,83
8.46963,56,83
5.66803,56,83
6.08853,56,83
1.32894,56,83
8.40733,56,83
1.5055,56,83
6.43048,56,83
7.07814,56,83
9.80785,32,84
3.55975,32,84
2.15675,32,84
2.66492,32,84
5.03212,32,84
4.34105,32,84
9.89875,32,84
2.4131,32,84
3.00167,32,84
7.50721,32,84
8.92504,46,85
9.30152,46,85
9.8445,46,85
1.65673,46,85
5.41957,46,85
1.86908,46,85
4.14407,46,85
8.65061,46,85
4.85469,46,85
8.81671,46,85
0.742094,30,86
0.800291,30,86
9.18015,30,86
4.299,30,86
4.97472,30,86
7.99528,30,86
3.36942,30,86
2.97888,30,86
2.43063,30,86
4.33379,30,86
4.17945,18,87
1.64094,18,87
8.67259,18,87
3.8208,18,87
4.34604,18,87
1.04023,18,87
4.3701,18,87
6.00985,18,87
9.21486,18,87
1.67058,18,87
5.21602,44,88
7.75527,44,88
8.86384,44,88
7.87529,44,88
3.84923,44,88
6.69739,44,88
0.397535,44,88
8.12126,44,88
5.56288,44,88
0.727066,44,88
0.638511,82,89
9.56167,82,89
1.26985,82,89
6.60246,82,89
3.14394,82,89
2.63284,82,89
2.72179,82,89
1.44809,82,89
3.43839,82,89
0.193352,82,89
7.95683,68,90
0.114229,68,90
6.03924,68,90
1.07949,68,90
8.7695,68,90
2.38397,68,90
5.72269,68,90
3.89415,68,90
2.08178,68,90
3.02099,68,90
3.50124,58,91
2.20138,58,91
2.0652,58,91
8.85492,58,91
9.89031,58,91
3.61748,58,91
0.271975,58,91
8.932,58,91
3.96492,58,91
0.577418,58,91
3.87591,14,92
8.59464,14,92
1.20855,14,92
7.562,14,92
4.58519,14,92
1.90932,14,92
9.66304,14,92
8.69818,14,92
9.30942,14,92
3.15409,14,92
7.67596,16,93
9.60391,16,93
0.641741,16,93
7.18439,16,93
6.28263,16,93
5.51704,16,93
1.42264,16,93
1.56661,16,93
8.73963,16,93
2.6496,16,93
1.67181,10,94
4.9089,10,94
2.77219,10,94
7.07419,10,94
8.18009,10,94
6.33739,10,94
7.07663,10,94
4.92087,10,94
1.85259,10,94
5.91981,10,94
0.193052,40,95
8.65831,40,95
1.473,40,95
1.91633,40,95
2.59056,40,95
2.81442,40,95
