Time,N
111699,133
121646,133
113694,133
118647,133
72804,134
84774,134
78761,134
74798,134
76769,134
77792,134
75793,134
76791,134
72771,134
72805,134
115688,135
110662,135
114692,135
120645,135
114691,135
114690,135
131650,135
118678,135
125665,135
121673,135
170543,136
175528,136
172500,136
163559,136
169545,136
171540,136
190491,136
169456,136
159574,136
163561,136
123668,137
126661,137
125664,137
122673,137
119679,137
117685,137
139625,137
134640,137
130652,137
139624,137
122671,138
124666,138
115690,138
110704,138
114692,138
111700,138
129655,138
111700,138
111699,138
111700,138
88763,139
88762,139
82777,139
88761,139
96739,139
91753,139
88759,139
87765,139
89760,139
87764,139
73803,140
57842,140
57844,140
58841,140
62832,140
59839,140
58843,140
60838,140
66817,140
57842,140
126659,141
123670,141
117687,141
118680,141
118681,141
119678,141
113695,141
114691,141
116687,141
128653,141
178520,142
178520,142
177524,142
179516,142
178522,142
169544,142
156581,142
172536,142
172503,142
174532,142
113695,143
109705,143
107711,143
104721,143
103722,143
112700,143
110700,143
110701,143
106715,143
119680,143
95744,144
89757,144
94745,144
91753,144
91757,144
93746,144
90755,144
97736,144
91754,144
91756,144
136632,145
133640,145
149597,145
128655,145
131647,145
131647,145
128654,145
127657,145
127657,145
131645,145
147605,146
148601,146
144612,146
148601,146
151591,146
154588,146
148601,146
147604,146
159572,146
148601,146
117684,147
120677,147
128656,147
128653,147
135635,147
136629,147
127657,147
124666,147
121674,147
117346,147
156581,148
156581,148
155583,148
162453,148
157577,148
158783,148
170542,148
159571,148
163567,148
176526,148
133642,149
129651,149
127658,149
126663,149
130648,149
131648,149
152592,149
128655,149
125632,149
130651,149
121673,150
120678,150
121646,150
116659,150
118647,150
118682,150
121675,150
119678,150
133623,150
125661,150
112698,151
112695,151
111702,151
110704,151
110703,151
107713,151
107710,151
110671,151
106711,151
102724,151
200463,152
185503,152
188462,152
190463,152
203455,152
209439,152
202457,152
197471,152
204426,152
222406,152
167551,153
180517,153
173534,153
163559,153
165557,153
189493,153
176528,153
169761,153
186501,153
181514,153
150597,154
149566,154
155581,154
141617,154
143618,154
147577,154
138627,154
132645,154
128653,154
151594,154
185501,155
183506,155
174534,155
164558,155
173532,155
175498,155
173534,155
172537,155
188495,155
181512,155
180515,156
177519,156
190494,156
176493,156
178522,156
200436,156
187496,156
202431,156
194477,156
193484,156
167552,157
172540,157
149597,157
144612,157
146610,157
139625,157
137631,157
139625,157
148602,157
142615,157
112729,158
111699,158
109706,158
110705,158
117683,158
111700,158
108706,158
113695,158
109707,158
129622,158
187468,159
178522,159
178522,159
186473,159
190464,159
184504,159
189493,159
181511,159
196473,159
178494,159
164559,160
161568,160
167112,160
160570,160
174532,160
155553,160
156578,160
168548,160
164522,160
159571,160
181512,161
175503,161
177523,161
182510,161
173538,161
187463,161
190489,161
185502,161
182511,161
173535,161
114690,162
113695,162
120644,162
115691,162
116661,162
120673,162
133642,162
125661,162
120676,162
122670,162
111674,163
114659,163
117683,163
113694,163
118681,163
115691,163
112697,163
123666,163
116656,163
